id,question,choice_A,choice_B,choice_C,choice_D,choice_E,answerKey
33b5d61bbe612e02cad6df3786a3317c,What are you about to do after cashing in your chips at a casino?,retire,betrayal,resentment,leave,profit,D
b06d1b15200b6caea3767ce7f30e918b,"Sarah liked driving cars more than she liked cigarettes.  After she quit, she'd take long drives for what?",smoke,getting somewhere,relaxation,take a break,wreak,C
ac4c7565e8051c9194cb57496c8ec4cc,Sally bought bubblegum. Where might she have gotten it?,supermarket,theater,street,pocket,church,A
aaefa81d3c2e4837e14875f9f1c84d99,What does there need to be for a shadow to appear?,ground,bright light,bridge,sunshine,beam,B
01071d55e0e78177f9014cb940b2077a,"If I have to pass through a ticket booth to ride a roller coaster, where am I likely?",train station,amusement park,venue,bank,fairgrounds,B
06dd6918ece5095d8d241693c3dddda5,What do you do in court to alleviate curiosity?,search on computer,see exhibits,examine thing,hear testimony,surf net,D
fb8040aec2f3c032837926329efa9592,What would you experience after awaking from a nightmare?,headache,get up,happiness,discomfort,shock,E
5aef8dbaf0eaef3e3f38f063f48513a5,"Whenever I play chess, the other person seems to anticipate my moves, what can they do?",sneeze,winning,thinking,checking,think ahead,E
e95d738b0093f4d716cfff3ef08f4868,What do people fear when they speak of crossing over?,making cake,fear death,fight each other,talk to each other,race cars,B
07e35bfdcc6296f02a0247e16c6b45a7,If you tend to fiddle with your shoes they are likely what?,you're bored,stolen from the store,like music,uncomfortable,were bored,D
e07510d1ef4e5d1c812634370dd8968e,"She looked at all the noisy flashing one-armed bandits, if she was going to play she was going to be what?",saving money,spending money,being entertained,intermission,sleepiness,B
c4558fc04f4aebe4dcf2d293ac6760f2,"If I have a reception with many people attending, where should I be sure to hold it?",grand casino,large room,restaurant,country club,lobby,B
943b7c18980968b87929671e06867fca,What does a person do when they are blocking someone in a driveway?,healthy relationship,food,moving car,wet suit,school,C
ac2c282d785a31ad48bae5f8f07abba5,What is the final phase of a living being's life?,decay,respiration,death,growing older,sometimes bad,C
bfcb8e81109cc953bb733404a618dea9,"The man finished mowing his lawn and enjoyed a glass of lemonade on his porch, he took a sip and told himself that life was what?",good,ending soon,fleeting,finite,important,A
8bb4b6ace304aa9b812bd557423b4063,What is happening to a person found guilty of committing murder?,feeling sad,going to prison,jail time,go to jail,feeling of guilt,B
83ae16ea14d71fd3317f37910025532d,Where is likely the coziest plat to eat?,downtown,prison,city,own house,earing,D
b1f0e6568395e4a2115cf2cc8193e494,Where could she go to find a big cat to see?,front door,residence,zoo,restaurant,barn,C
733d651671fac9bbbc27336b175c618c,"When I was driving, I saw a lot of emergency vehicles up ahead.  What might have happened?",traffic accident,tension headache,tunnel vision,moving,airplane,A
40f14f796b4eafc0e01757657361a17a,"He admired the apple tree, he was relaxing in the smallest of the fifty where?",meadow,idaho,rhode island,garden,park,C
690b3d4cf174aa15c03cf9348ac1fbc5,"The question the teacher asked was profound, it made all the students stop and what?",analyse,express information,run away,give clue,think,E
65a260e7b8686c88b83c9bd32b45d974,"When people own restaurants, what are they doing?",own objects,mowing lawns,tell truth,believe in god,selling food,E
f33ed9009584c47814f7dff67e72b32f,"The man immediately recognized his picture opposite the crossword section, what was he reading?",table,art show,newspaper,desktop,biology book,C
45bf78f9483e86477920d89dc5389383,Where could you find a laundry room that is only used by staff?,house,hotel,green house,college,dorm,B
b2b0848e735d540e30f29e54df7cb965,"Plenty of love, candy and a small dog always awaited them, so the children always loved visiting where?",own home,basket,grandmother's house,apartment complex,trailer park,C
844255795ce401efa7f598b24e3dd361,While you're at the store buy beer what happens to your wealth?,relaxation,get arrested,wealth increases,losing money,pleasure,D
4a3cefff801f39bee4ef65320b0d4e08,"Some people believe that giving assistance to those in need will remove their ability to assist themselves, building what?",good will,helpfulness,dependence,smiles,problems,C
5a73dfc7b93f67508c447119c4b4a5dd,What is one horrible thing exercise can contribute to preventing?,heart problems,tiredness,relaxation,heart attacks,good health,D
732e35b06f900a4199a5787889a21327,"When you dont want something, you do what to it?",stockpile,refuse,reject,negative,detest,C
15c069a1a6bf8a938b775a5632421452,"When it came to sex the couple were very strict, they were going to what the wedding to do it?",see art,run away,wait for,eat breakfast,love another,C
b031535fa9650815c3d94331acaaa59b,If you're lighting a candle to see what are you in?,dimly lit room,synagogue,sunlight,birthday cake,bedroom,A
6f38fffb183b63bf27fd53df585f4b53,What could someone get into if he or she is becoming inebriated?,fights,addiction,arrest,staggering,paralysis,A
5198f1ac4f753ed3e0acbe45c93fa48f,What are you hoping will happen when talking?,people to listen,conversation,attempting to communicate,making sound,getting to know people,A
996f2c4543a0dc23cb98ee09ca808b6d,"Billy emptied his trash can into the big dumpster.  Housekeeping was supposed to do it, but it was easy for him, and this place was cheap.  Where is Billy?",dump,office,motel,park,corner,C
e0757e51db0f19aec1a3022f78df9a5e,Where do you need to use a fan?,hot room,sports stadium,appliance store,hockey game,sauna,A
c8556529946a1efd29650e1760eb05a4,Sarah couldn't make the afternoon meeting and had to reschedule. She promised to .skip dinner and go to sleep earlier that night so that she could make it.  When might the meeting have been rescheduled to?,before noon,after,morning,evening,before lunch,C
d0f6be91ef071b5a5a4a9a84c5138446,What is the goal of a poor person having food?,digesting,being full,will not starve,survive,getting fat,C
ef5a52a77a90de66ac876eafe5adf3ae,"Climbing is quite a talent, it requires the use of very particular whats?",strength,skill,experience,dexterity,muscles,E
706dc0f5d962f0d3b4078ad9114c753e,"People needed to find a red telephone box in the country side, where are they looking?",restaurant,england,city on street corner,the doctor,london,B
092186d1c99e2248e23182f65aebbd2c,A school is necessary for every one of these. What are they?,every city,community,playground,residential neighborhood,town,B
b932b97619086f3f1a4f7e8a5e1037cf,People do what during their time off from work?,grow shorter,learn from each other,take trips,talk to coworkers,become hysterical,C
daf73edcf98f1ec78669a5ceb05c3d5a,"The sloth heard portuguese being spoken nearby and cowered, where was the sloth?",tropical forests,dictionary,amazon basin,congo,tropical rain forest,C
9a61433ad3ff8924dbd1a605f597fd2b,"James looked for koalas, but misunderstood and went to the wrong environment.  Where is it impossible to find koalas?",jungle,great outdoors,siberia,queensland,wilderness,A
4b26beac09a811e3aef490b64b360513_1,Where are hot dogs are a commonly sold item away from a grocery store?,park,disneyland,churro stand,bowling alley,sporting event,E
f1eb6055fa8a1ec94fa6d710d9a6741b,Something that you need to have inside of you when opening a business is a lot of?,workers,money,determination,funding,creativity,C
7782150d427ffbc4111c071c8096e983,Billy found himself agreeing with Dan. They knew each other since childhood.  They didn't need what to make an agreement?,contract,friendship,harmony,compliance,death threats,A
e919d1028407e2f08b947645a14e759f,What is someone who enjoys to give assistance likely to do?,helpful,prepared,help one,willing to help,go home,C
6b1c5bdefc30c08d6e77636eb9ee155d,Joe wanted to know the truth because he was an academic and south to learn as much as possible.  He would do anything in pursuit of what?,work to advantage,matter to,further knowledge,free mind,finding the way,C
411c9752c263d774d001464b711cd9d8,What is it called when a plant opens up in the sunlight?,photosynthesis,bloom,have roots,flower petals,flower in spring time,B
56e7b6709fd4145b9490612ba002a2f8,"The mother tried to call the babysitter, but the babysitter panicked and did what?",park,communicate,hang up,answer,respond,C
7f4e9acf09aad9f887754cab21b2e194,"He looked up for a certain star, it was the one that helped him spot the rest of the what?",solar system,night sky,hollywood,constellation,red carpet,D
7c4fe7be02f07568ecd0abd1efb37e11,Sally is a customer at a restaurant.  She got a table early.  What might she have done after being seated?,order dinner,take number,pay bills,finish desert,wait in line,A
055231afda84c173569ff3994ae9f768,Balthazar is a popular french restaurant located where?,wine,manhattan,underwater,quebec,montreal,B
4b26beac09a811e3aef490b64b360513,"The hot dogs were selling fast at intermission, where were they being sold?",park,disneyland,apartment,cows,sporting event,E
77b14f81f894b1312d2dc6cd3db17392,"Bob wants to talk, but he's surrounded by gnats and he thinks they're gross.   No one can hear him because refuses to do what?",will listen,open mouth,speak up,express opinions,make sound,B
7428b0c780428d64116d060520b9fa0c,"Sure you could get a drink absolutely anywhere, but he found he lost less money if he was just at the bar where?",nightclub,restaurant,miami,las vegas,new york city,D
7fcf4cbd9370cfc3f390e8720c08b05f,"John suffered from mental illness, but he was in good hands.  He would have to be on drugs for the rest of his life, but they allowed it to be what?",free,cause hallucination,recur,effectively treated,managed,D
f427a5b013c4190b708a25a9594264a1,What would you need after recording somethign and then having it transcribed?,spell checker,documentation of facts,evidence,recorder,tape,A
54549f8b11a5ccd447bbd7e50b389ef3,Where could you find a pebble that has been walked on?,lake,playground,pond,aquarium,stucco,B
c63857bb09ba4ba0e96f512a48713795,"Billy loves science, history, and art but isn't very creative.  When he was visiting the museum, he felt a great deal of what emotion?",inspiration,fulfillment,wonder,boredom,enjoyment,E
5894a3b1a7deddb10260b96c24107b01,Young Timmy had a weak arm and could never quite land the newspaper all the way up on my what?,library,jail,subway,porch,floor,D
bdb7a31db2e74f755c9cb34988429ba3,What will the government do if they find out you fail to file your taxes?,get money,school children,serve public,forgive you,take money,E
ef4a41be738cd8249bd2ed496b67e74e,Sometimes people say that someone stupid has no what?,names,dress,brains,brown hair,two eyes,C
fa651dc3fcdde24cda9a919d0b32caca,"They took a break from all the rides to have lunch, while eating hamburger they talked about how they were going to what on the next ride?",heartburn,have fun,enjoy,gas,food poisoning,B
47e53221e4370e3a2be1f616e9cd95d5,"The man needed representation for arbitration, and a professional decided on giving assistance, what are they trying to avoid?",death,law suits,out of pocket,feel loved,surgery,B
54599943fd38d61c01d2d99032b68694,Where would you fill a salad bowl with as much as you can eat?,dishwasher,a resturant,buffet,french restaurant,cupboard,C
aa8317aeac090d7d291b0881c9ee756d,Why would you go to a bathroom after drinking alcohol?,disorientation,having sex,throwing up,check makeup,frequent urination,C
68cacf2f356db8dd418e958d27b60106,Why would you be unable to use a basketball?,full of air,punctured,popular in america,round,not tall,B
c308dd7570007a030f519e7148842613,Jane bought a bag of marbles.  Where did she keep them?,pouch,jar,game,silk lined tote bag,store,A
21f85e848149faae1acd981dc0a3e28c,"The old saying is that taxes are inevitable, and also what?",discount,death and,refund,free money,spend,B
2282e0c80be28aadadb79a822fec9dac,Death Valley is in the North American what?,country,continent,west virginia,mountainous region,mountainous area,B
f037e216191f298d9e4636ceb195eced,Where could you get something that is made out of wool but cannot be worn?,clothing store,sweater,fabric store,jewelry,clothing factory,C
a0dbf1f23767367088820868def9aa07,"A computer can process information and even choose, but it can't do what?",run programs,make decisions,believe in god,brain,receive data,C
c900805e2924bc6606f95b97bee7857b,They served wine and cheese after everybody saw the exhibits and installations where?,bar,cemetary,art show,spaghetti sauce,liquor store,C
3cde742a970872d55a9552750ec94a39,Where do  you park in the parking lot with shopping bags?,amusement park,urban area,airport,shopping malls,train station,D
44086b5661faaec5b8f09cd2eee02d50,"If I need to store old stuff out of the way without concerns of them getting damp, where do I go?",waste bin,cellar,attic,fridge,museum,C
20c4526646e3e61f3979944e0bff396b,Where will my kid put their coin in their room?,piggy bank,wishing well,parking meter,under pillow,change purse,A
91b2a4649122feaa9e9ea3a8eba0150b,What must someone go through when heading to the sky?,outdoors,planetarium,head strain,atmosphere,heavens,D
4cfd8cde494308c8398b5c098fab7513,What would you change the learning process to be if someone does not like learning?,interesting,fun,joyful or painful,very important,free,B
4ec2136a93d093ab760695e0b200534e,Where would you go if you wanted to buy clothes as well as other things?,house,closet,beach,clothing store,mall,E
cdf1d24c6271aa5452fa2eae4a36d661,"He needed a stapler and index card, he figure where would be the best place to purchase them?",oral report,book store,library,card catalogue,office supply store,E
6eeed1adf634167228ae78ca419ff0c3,Where does an audience come every week to listen to a person speaking?,hockey game,church,sporting event,movie theater,phone call,B
26aa456d3e43a460b0f5c42f297903a0,What could you put a table in if you want the table to be in your house?,library,demonstration,corner,football ground,rug,C
5b99594dc2aaa18574a5de0fbd03de6c,What is a good way to carry a small dog?,good hands,backpack,chinese food,grocery bag,basket,B
2372a0e0674ea627c082c81aea66b50e,What is likely to happen to a snowman that is getting wet?,cool off,could,shrinking,get cold,get larger,C
7f07e533a185964bacc8e78cda23cfc5,Where did a shop get the sand dollars you can buy?,high school,container,atm,ocean floor,downtown area,D
b5e66ceee3a93529d29548b544c3d9bb,What kind of structure are in if there is a large chandelier in the foyer?,from the ceiling,building,apartment,mansion,spacious house,D
a352ca88cd2f2a166b81695a024aef6f,What might someone want to be if he or she is thick?,slender,free flowing,sparse,unacquainted,diet,A
c1439e04d5ea8392a3fac0b818e1710d,Bill crossed a boundary in his daily life and transgressed against an important rule of what?,delineating political unit,sporting event,society,basketball,basketball,C
278eb5a8dd999e38d135d9dc678188da,Where will you store a bowl while not in use?,apartment,outside,dishwasher,cabinet,restaurant,D
c09424548bc06d49de6cf61cba199527,Why is a person likely to stop eating hamburger and save the rest for later?,sadness,being full,heartburn,food poisoning,death,B
ab3b4ccf7badd7bfd333dc50fe995a81,If a person is supported by those closest to them what do they have?,support group,get enough sleep,nice family,strong bones,compliments,C
de6d54b0bde75943863c0685726860f9,"What would you do if you want to eat dinner, but do not have any raw ingredients?",cook food,cook food,prepare food,buy food,have food,D
7d9277c43498d0d4ff5f91b842839fb1,In American it is possible for someone to grow up poor and end up what?,rich,good,being rich,adequate,famous,A
73a85d7b1a9064ec018ea1286f0b5d12,"If I wanted to travel and get bar service, what is one of my best options?",train,wedding,hotel,amusement park,entertainment,A
427cb548af90b2770eca2d75dd6d5faf,James doesn't like reading books before bed.  He has an active imagination and finds that late night reading gives him what?,nightmares,enlightenment,cramps,drowsiness,entertainment,A
517f9d923bdfbb1185951f34d6cb2d59,What do teachers often do after teaching a lesson?,answering questions,pop quiz,school children,school students,teach children,A
a7f7ae5bc10e54c2c5809abac706a766,"If a person is shy, what do they feel when meeting people for the first time?",anxiety,stress,being bored,smile,making new friends,B
e09d4ccb3ed5054884ed76f8eee94511,Mandy was naturally entertaining.  She enjoyed making people feel good and hoped that she could bring lasting what to them?,happiness,laughter,fulfillment,like,infection,A
28343b3e94118d4dfaa9a8c2e3ca3eec,"The prisoners often grouped to play cards, it was one of the few ways to avoid being what in there?",afraid,have fun,bored,winning,good at,C
0893a798f25849647a6f3268d15bd75b,"Billy held the key information that Lorna needed.  Without that, Lorna couldn't find what?",bus stand,turn lock,front door,open doors,solution to problem,E
f04f404b991a4320a2454d31c522d2af,"I go on a lot of vacations, what does that make me?",vacate,vacationgoer,include cruise,racecation,traveler,B
a1b4d5d373c46c1fe8384f50c768daba,James was hunted for stabbing someone to death.  He was afraid that he would be forced to serve what?,knife wounds,law suit,llaughing,mess,jail time,E
46f4af2fd001a606fc6d36f1b58a9ec8_1,"He was washing hands, what happened to his hands as a result?",jazz hands,health,become wet,skin irritation,dry skin,C
2add47b0fb30af6f0c53e9e37fde334d_1,"The police saw the moving car, what did they know the suspect was doing?",driving,breathing,getting tired,ticket,accidents,A
0dc04636c02bb803f9d3cdbd0bc18069,Where would you get a marker if you do not have one?,office supply store,desk,pocket,drawer,briefcase,A
7aef3f0c82677ec2cae8568a97d4cc8e,What might the result of unwanted flirting be?,attraction,problems,the gallows,being slapped,curiosity,D
533351d001f2efe04f3cfe5993480842,"Humans tend to be born two ways, these two ways are what?",emotional,very adaptable,left or right handed,male or female,selfish,D
bd3bb1f6f93925365649ba30bd4ca022,Rather than talk in a class you should do what and pay attention?,keeping quiet,sit silently,obesity,begin speaking,being silent,B
385f1bddc41535015da29d0fb9d67150,"Tired of his sickness, what did the man seek as he visited various doctors?",being well,wounds,cause person to hoarse,healthy,healthiness,E
f70f50501cf3ab2293fcee8c9e56febb,Though he was an adult he still stereotypical slept on a sofa bed in his parent's what,garage,horseradish,living room,guest room,basement,E
184d8cd9638b44e806f25272e5d41842,How does god want one another to treat others according to the bible?,call them names,everywhere,care for people,work in life,speak to people,C
330cf977078505f74ae761abd09c772c,Where could you find an artificial light source?,store,house,candle,books,sky,B
3bfb6af8f5069efb06c492a11a1db38a,To become great at fiddling you need lots of?,knowledge of music,skill,candy,dexterity,practice,E
9ced3ed5af0fcdc167788f5ada12d87d,What business has a tower to transmit signals?,city,toronto,radio station,roger that,medieval castle,C
aa3cc272fa14edb5e5250e605f81fe1d,"The children were running late for school, after eating breakfast they left behind their what?",being satisfied,dirty dishes,bad breath,blue bus,gas,B
8a3c1d4eb1a011e3ec8922a9c32d71f8,"When people are learning about science and not burdened by the morals of a higher power, they are more likely to come up with what?",experiment,new ideas,scientific knowledge,enlightened,atheism,B
40efa04e78f4918831a5567e6066f74f,"It had a beach with shallow water, while not the ocean this was a hot spot all the locals enjoyed on the what?",swimming pool,pond,lake,bathe in,childrens pool,C
94f512fe19c53c6d6a5d2199991f03d4,Where is a white mouse likely to be found?,research laboratory,field,old barn,computer lab,cupboard,A
b18afff8078a6baa334b8bfb21db8624,You can hear testimony of how spirituality changes lives when you do what?,go to church,appear in court,watch soap operas,paying attention,go into court,A
65e20261e5bb77dd18250db17599b002,Where would my son place his paper plate?,table,his bedroom,dishwasher,cabinet,restaurant,A
0a88cabd74ec6f40247dae2976cf8656,"Where can you buy clothing, sporting goods, and housewares?",backpack,house,department store,mall,table,C
1d9c4d4662408034ff679f058282cc55,Where does someone go to step on a scale annually?,doctor's office,music store,bathroom,post office,fish hatchery,A
24bb2394b6bd778b607ca923aee8e994,"Mom is tidying a house, where would she put the loose dictionary?",shelf,library,classroom,table,desk,A
9710d39439e42bb9cbb65c3fe4ff4a41,What type of eating do people want to achieve when they eat vegetables?,healthy,prepare,nutrition,clean,open mouth,D
bdd4f719543bf5752f51509e7e5046df,"The weasel was scavenging in the cold winter on a farmer's land, where was he likely?",fairytale,mountain,great outdoors,corn fields,chicken coop,D
3c1a8d88dd96e815a505a471c7409ae7,If you need to store old clothes and want to keep moths away you can put them in what large rectangular storage container?,trunk,basement,trash,trash,box,A
bb451386136ad5d6cbe142bff6a43605,What are the problems of eating and not exercising?,satisfaction,gaining weight,fatness,full stomach,getting full,B
49319b9894415363f2963681d351f2ff,"He said he also wanted in, he threatened to tattle what?",differently,mere,only,otherwise,anyway,D
e3286184b4062ed0bfa872e208ad722b,"He lit another candle in the Menorah, everybody at the what watched?",mosque,birthday cake,synagogue,dimly lit room,bedroom,C
8be8fb9c927d4338c20a8289eb4d151f,Lizards are able to regrow what if it is cut off?,bones,four legs,4 legs,backbone,tail,E
8a96a02244ecb02900fd21aedeed88e4,"He spent all summer in his room playing video games, because of this it wasn't surprising for Mother to find a stack of dirty dishes in her what?",son's room,party,dishwasher,restaurant kitchen,shoes,A
53ba19ad4b8e6bfad136f8efef1b3dd5,What do you call a metal that is not cheap?,expensive,dear,precious,inexpensive,spendthrift,C
5a953b5fb26f1614640574f65410e8b0,"Mark's semen was very thick, but after his vasectomy it was also what?",blank,sparse,thin,clear,free flowing,D
75d1d5ba15c010637bfab92ee9070af6,Where would you put your change if you plan to use it soon and you are not a man?,wardrobe,jar,pocket,purse,backseat of car,D
4f79dd4b1c99219c526e23e55f88ea19,Friday wasn't in the mood to be answering questions.  After a ten hour interrogation he was what?,getting tired,sharing information,rich,teaching,boredom,A
6e24851e48eace0c64466fe480e37985,Where can you get a puck to take home?,hockey rink,arcade,ice hockey game,locker room,sporting goods store,E
1ca0b67dedb7ff20b81b05be44e10dae,Where could you find only a few place to stay?,phone book,town,mexico,a holiday,city,B
469b66631ddc774c43c282d9522f6799,Where is a child likely to put their wagon?,backyard,field,tool box,toy store,garage,A
a26211c2e6509d24abb628efd00974da,Bill's noticed that one of his tires was flat when he got home from Toronto.   Where would he take his car next?,toronto,flammable,repair shop,car show,airport,C
7d4c5a49ca49a475238923b033ff8a13,"When two people know different things and want to help, what do they do?",discuss,burn themselves,teach each other,cross themselves,talk to each other,C
7e488cf701077c6d45a30663b19e7dff,"He always wanted to be a farmer, but he never moved to the country and was what his whole life?",farm land,pod person,industrial,city dweller,business man,D
b3b627f711c9e66bd2e22a8f9b8ada7a,Beside clasping their hands what do people do when praying?,whisper,kneel down,bow,talking to god,ask for help,B
8adc90ed047cb821793c84567a14d2e2,"The skin was cut while chopping onions, where was this skin likely cut?",good health,finger,meat,body,own family,B
04dd2c474f10826f3c47c378b6f54144,What is an way for people to meet with each other?,believe in god,pay bills,group together,enjoy themselves,face each other,C
f26d4c57c64ab413447579df8e328b73,The prisoner would often escape but he was also just as often what?,be imprisoned,being caught,being trapped,captured,stay in,B
31519fa6b96029d4b1dd3cd43228c933,"The outdoor restaurant has no business when it rained, where should it move to?",big city,town,building,new york,new place,C
c701d09e640808b76d3c0360bdc70725,"The factory made all sorts of specialized toys; AK47's, MiGs, anything having to do with what?",free trade zones,russia,industrial park,napoleon,workers,B
88dc34fc9df0bdadbb9ec9a417c5967c,Where is the best place to make food?,kitchen,supermarket,table,stomach,restaurant,A
551f0141a97efdd30e075a8ca7e7a5b7,Where is a bridge likely to be found?,river bed,river valley,texas,california,over water,E
49833dc628a93ef69c645219987f49e7,Where can I ride my bicycle in order to take graduate classes?,bike path,schoolyard,netherlands,street,university,E
9d82006be3ab36910ceb640a0270e07c,You can use a notepad to keep track of agenda items during a what?,holdup,back pocket,drug store,school,meeting,E
038010535de76fcdf43a0776a6f04814,"Billy didn't know what to do.  He had just bought a huge ficus, but he has no where to put it.  It was just too gid for his house.  Right now, the ficus waited outside in something. What is the ficus in?",park,large pot,maze,green house,tropical forest,B
80aee2e8ca04c2756f3d641b56b86e8e,What geological feature is made mostly of rock?,countryside,ground,street,mountain range,bridge,D
daf313b39a95084a099ea8706f803061,"If a cottage is above the cloud line, where is it?",village,rural area,mountains,fairy story,valley,C
10f572e55a732309354f877721c0d158,"If I wanted to buy a cable, where would I go?",substation,electrical device,television,radio shack,side ports of tv,D
118d67944bd70a4a1bca3f97cb15ae45,Where would you be able to hear a bassoon played in a very pleasing fashion?,make music,orchestra,high school band,symphony,cricket stadium,B
84f02eb5c3efa58f6ca03a4b415580fd,"Joe wasn't sure what he was eating, but the taste was awful and bitter.  What might he have been eating.",defecating,get tired,rotten,feces,gaining weight,D
1ee2105382fc88c988ea1a34e3b91264,If a person isn't being honest they are practicing what?,live in poverty,bad feelings,deception,bipolar,schizophrenia,C
804cb5a41f1978ca48de39c491dad97c,Traders work on the floor of the stock what?,building,hallway,table,exchange,office,D
18ace55d8d50c25e3d4d872a67368b58,"When a man is watching tv and a nude women comes on, they tend to get?",sad,erections,entertainment,boredom,get fat,B
f30bd841bc3f34abaff1a047de7ce1e2,Where would you find a trash can while enjoying the great outdoors?,water cooler,alley,park,food place,motel,C
02299b9cb697d47f6ba4bc01052b3977,"The jury deliberated for hours, the choice of passing sentence required them to make a what?",court house,go to jail,death,appeals,judgement,E
4c06a7456ca944ec9864f953fd5e9aec,"The janitor had to climb high in the rafters of the auditorium, he was replacing the stage whats?",theater,lights,university campus,director,high school,B
ac0462d09b9fddd40c3c77aedf48a870,"John runs a small corner shop.   If you were walking on a sidewalk near it, where would you look for it?",england,street corner,minnesota,arizona,iowa,B
6523b7ee3c0c95ed1cd8372349622d12,What might someone do with a book if they are experiencing boredom?,learn new,have fun,play chess,go somewhere,look pictures,A
328751cf6c9b20181a4978a31bde78a6,What will telling many people about someone's escapades lead to?,annoyance,notoriety,emotional distress,religion,riot,B
f55a850e038f95f94ca02fc086179d60,What does a judge do when someone is convicted of a crime?,conduct trial,arrest,bring in verdict,pass sentence,serve justice,D
2b55605909c8c7a18038f590e1d86a07,What is a country that is known for a high population of beaver?,woodlands,rivers,ontario,canada,zoo,D
1030925e5133edb54b0744f3518a1b25,"If people are 19 years of age, what has happened already to most of them?",die suddenly,go to jail,complete high school,believe in god,cross river,C
e1ed55f7a3c30a2e7c177412605832fa,"The man owned a lot of guns, he thought more gun control was what?",controlled in canada,a great idea,bad,semiautomatic,very dangerous,C
