id,question,choice_A,choice_B,choice_C,choice_D,choice_E,answerKey,light_1,light_2,light_3,medium_1,medium_2,medium_3,strong_1,strong_2,strong_3
e6766a66f8d326bf00fbf628a0e4ef24,"Bill is stuck in marsh when a man comes up to him peaking Cajun, where is he?",low lands,new york,forest,louisiana,everglades,D,"Bill is stuck in the marsh when a man comes up to him, Cajun peaking, where is he?",Bill is stuck in the marsh when a man comes up to him - Cajun - where is he?,"Bill is stuck in a marsh when a man comes up to him and peaks Cajun, where is he?","Bill is stuck in the marsh when a man comes up to him, Cajun Peaking. Where is he?","Bill is stuck in the marsh when a man comes up to him on the peaks of Cajun, where is he?","Bill is stuck in the marsh when a man comes up to him escorting Cajun, where is he?","Bill remains in the Marsh when a man comes up to him, Cajun peaks, where is he?","Bill is stuck in a marsh when a man comes up to him and throws, where is he?",Bill is stuck in the mud when a man comes to him with a cliff top and tells him; where is he?
be3ebf66bab30dfba91a697553d1eb74,"Though it was unhealthy they decided to buy food from the stand, they were travelling and suffering from what?",food to eat,paying,spend money,boredom,hunger,E,"Although it was unhealthy they decided to buy food from the stand, they were travelling and suffering from what?","Though it was unhealthy they decided to buy food from the stand, they were traveling and suffering what?","Though it was unhealthy they decided to buy food from the stand, they were travelling and what was suffering from?","Although it was unhealthy they decided to buy food from the stand, they were travelling and were suffering what?","Though it was unhealthy, they decided to buy food from the stand, but they were travelling and suffering from what?",Though it was unhealthy they decided to buy food from the stand but they were travelling and were suffering from what?,"When it was unhealthy they decide to buy food from the stand, though they were traveling and what was happening?","Though they decided to buy foods from the stand, although they were travelling, and suffering?","Though it was unhealthy, they decided to buy from the stand, they were travelling and suffering by what?"
c28c247c18893ced911cf791819cb67b,"Using television to broadcast the same shows to everyone, you can potentially increase what?",innovation,visual,falling asleep,entertained,conformity,E,,,,Use television to broadcast the same shows to everyone you can increase what?,"Using television to broadcast the same shows to everyone, you could potentially increase what?","By using television to broadcast the same shows to everyone, what you could potentially increase?",You can potentially increase what by using television to broadcast the same shows to everyone?,"Using television to broadcast the same shows to everyone, you can potentially do what?",It might reduce whether you can use television to broadcast the same shows to everyone?
eae2dacce88c2d046660009717bfed61,"The human wanted to give a bone as a reward, where did he put it?",skeleton,human body,dog's mouth,fresh fish,barn,C,,,,"The human wanted a bone as a reward, where did he put it?",The human wanted a bone as a reward and where did he put it?,"The human wanted to give a bone as a reward, where did he place it?",The human wanted to give a bone as a reward; where do he have it?,The human wanted to give as reward to a bone - where did he put it?,"If the human wanted to leave a bone as a reward, where did he put it?"
34d28fb5bbfe01a56bf82e9fd27e847a,"The man was in a rut of selfish thoughts and decided to commit suicide, he didn't think of the what it would cause others?",would die,dying,pain,jubilation,end life,C,The man was in a rut of selfish thoughts and decided to commit suicide - he didn't think of what it would cause others?,The man was in a rut of selfish thoughts and decided to commit suicide. He didn't think about what it would cause others to do?,The man was in a rut of selfish thoughts and decided to commit suicide - he did not think of what it would cause others?,"The man was in a rut of selfish thoughts and decided to commit suicide, he did not think of the what it would cause others to do?",The man was in a rut of selfish thoughts and decided to commit suicide; he didn't think of what it would cause others?,The man was in a rut of selfish thoughts and decided to commit suicide; he didn't think about what it would cause others to suffer?,The man was in a rut of selfish thoughts and decided to commit suicide. He didn't think about what this would cause others?,The man was in a cycle of selfish thoughts and decided to commit suicide; he didn't think of what was going to cause others?,The man was in a rut of selfish thoughts and decided to commit suicide. He didn't think what it would cause others?
7a91e4eaeae10587d4e2825059653676,Billy went away because his parents were fighting and he didn't want to stay where?,home team,present,at home,come back,charming,C,,,,Billy went away because his parents were fighting and he did not want to stay where?,Billy went to the park because his parents were fighting and he didn't want to stay where?,Billy went to where his parents were fighting and he didn't want to stay?,Billy went away because his parents were fighting and he didn't want to stay where they do?,Billy moved out of an employer because his parents were fighting and he didn't want to stay where it?,Billy went away because his parents were fighting and he didn't want to come to where?
a3f25ae670ca7752bacbb64a032dc6ae,What is likely to crash in an intersection?,fork in road,town center,city street,cars,street corner,D,What is likely to crash at an intersection?,,,What is likely to crash at an intersection?,,,What is likely to crash on an intersection?,Who is likely to crash at an intersection?,What is probably to crash in an intersection?
58a3498cc62f66da0082127391599728,Where is too much snow likely to cause damage?,north pole,trees,surface of earth,roof,ground,D,Wo is too much snow likely to cause damage?,,,Wo is too much snow likely to cause damage?,,,Wo does too much snow likely damage?,Wo is too much snow likely to cause damage?,What size of snow could cause damage?
a0167eba22bff5cda04196c964db51c0,What is something that probably has a lot of testosterone and way too much alcohol?,beer,wine,restaurant,fraternity house,pub,D,,,,,,,What is something that maybe has way too much testosterone and way too much alcohol?,What is something which has probably a lot of testosterone and way too much alcohol?,What is something that probably contains a lot of testosterone and way too much alcohol?
bda8a377b8fbd98c85ed8df2c900dd58,What can large amounts of water do over long periods of time?,room temperature,thin blood,make parks,take several forms,move mountains,E,,,,What can large amounts of water do for long periods of time?,What large amounts of water can do over long periods of time?,What can large quantities of water do over long periods of time?,What can vast amounts of water do for long periods of time?,What can a large amount of water do over long periods of time?,What large water amounts do over long periods of time?
38b9ebd81476a0362c1c60d1e0987913,"The child was curious about something, what did he do?",grow up,become adult,ask questions,play games,acting out,C,,,,,,,"The child was curious of something, what did he do?",The child was curious about something? What did he do?,The child was curious about something and did he do?
4846f5c9f479391d32a5c1a07c12b70f,"Hundreds of miles away a paper was signed and the conflict was over, not a single drop of blood would hit the what that day?",vein,person,paper,clinic,battlefield,E,"Hundreds of miles away a paper was signed and the conflict was over, not a single drop of blood would hit what that day?","Hundreds of miles away a paper was signed and the conflict was over, not a single drop of blood would hit the what on that day?","Hundreds of miles away a paper was signed and the conflict was over, not a single drop of blood would hit what on that day?","Hundreds of miles away a paper was signed and the conflict was over, not a single drop of blood would hit what on that day?",Hundreds of miles away a paper was signed and the conflict was over - not a single drop of blood would hit what this day?,Hundreds of miles away a paper was signed and the conflict was over; not a single drop of blood would hit this day?,Hundreds of miles away a paper was signed and the conflict was over at last. Not a single drop of blood would be outgunned that day?,"Hundreds of miles away a paper was signed and the conflict was gone, nor a single drop of blood would have been spilled on that day?",Hundreds of miles away a paper was signed and the conflict was over because this day could not see a drop of blood?
480906022f4ec20f6aa4366a63fac997,Where is a blanket useful to cover a horse?,bedroom,hospital,michigan,backpack,shoe,C,Wo is a blanket useful to cover a horse?,,,Wo is a blanket useful to cover a horse?,,,Wo is a blanket useful to cover a horse?,Wo is a blanket helpful to cover a horse?,Où is a blanket useful to cover a horse?
3d9b2d52fe19b6132e5347d6955f7c56,Where would you get marble if you do not have any?,opaque,game,pawn shop,store,pouch,D,Where would you get marble if you do not have one?,Wo would you get marble if you do not have any?,,What would you get if you did not have any marble?,Wo would you get marble if you do not have one?,Where would you get marble if you have no?,Do you have it If you do not have it?,Where you would get marble if it were also not yours?,Where could you get marble if you do not have one?
7de6e576a560633e0cf352ac153cf8ca,"Lilly was getting warm and John's hands ran down her hips and rubbed her butt.  She wasn't quite there yet, but she was beginning to experience what?",get hot,hyperthermia,feeling comfortable,euphoria,pleasure,E,"Lilly was warm and John's hands ran down her hips and rubbed her butt. She wasn't quite there yet, but she was beginning to experience what?","Lilly was getting warm and John ran her hands down her hips and rubbed her butt. She wasn't quite there yet, but she was beginning to experience what?","Lilly was warm and John ran her hands down her hips and rubbed her butt, she wasn't quite there yet, but she was beginning to experience what?","Lilly was warm and John's hands ran down her hips and rubbed her butt; she wasn't quite there yet, but she was starting to experience what?",Lilly was warming up and John ran down her hips and rubbed her butt; she was still not there but she was beginning to experience what?,"Lilly was warm and John ran her hands down her hips and rubbed her butt, she wasn't yet there, but she was beginning to experience what?","Lilly was warm and John ran his hands across her hips and rubbed her bum, she wasn't quite there, but she was experiencing what?","Lilly was getting warm and John ran her hands through her hips and she rubbed her butt, but she was going to experience what?",Lilly was warm and John’s hands ran down her hips and rub her skin. She wasn’t quite there yet but she was beginning to experience what?
91f17d513db1d9c9c50889524cca109a,What does someone feel when they lose playing soccer?,sweating,work out,excitement,anger,getting tired,D,What does someone feel when they lose soccer playing?,,,What does someone feel when they lose soccer?,What does someone feel when they lose to soccer?,What does someone feel when they lose in soccer?,What does someone feel when they lose a game of soccer?,Question: What does someone feel when they lose play soccer?,What did someone feel when they lose soccer?
a0a0f91e33c6b4856ab5ee1b252afaa3,"John was a servant, but he was paid for his work.  What was he?",in charge,boss,free person,queen,lord,C,"John was a servant, but was paid for his work - what was he?",,,John was a servant but was paid for his work What was he?,"John was a servant, but for his work he was paid - what was he?","John was a servant, but for his work was paid: what was he?",John was a servant but was paid for his work: What was he?,"John was a servant, but paid for his work; what was he?",What was John paid for his work?
6e93cf389b928e67d37c3b22df1af2b5,"If the weather means you what, so do your animals?",travel,get cold,feel pain,move,electrical circuit,B,"If the weather means what, so do your animals?","If the weather means what to you, so do your animals?",,"If the weather means what to you, so do your animals?","If the weather means to you what, so do your animals?","If the weather means what, so do your animals?","The weather means what to you, so do those animals?",The weather does that for your animals?,If the weather means what to you so do its animals?
ebe88bc7ce582801ab476a4136d96ed0,Where would you get a mailbox if you do not have one?,downtown area,front yard,obesity,post office,hardware store,E,Wo would you get a mailbox if you do not have one?,,,WHERE would you receive a mailbox if you do not have one?,Wo would you get a mailbox if you do not have one?,What would you get a mailbox if you do not have one?,What would you get in a mailbox if yours does not exist?,Why would you receive a mailbox if you have one?,But where would you get a mailbox if you do not have one?
67a9cd11f84c67739ceaedfa8519620e,They say a person should do what if they want something sweet and healthy?,order fries,eat fruit,feel stupid,water garden,catch cold,B,They say that a person should do what if they want something sweet and healthy?,,,They say that a person should do what if they want something sweet and healthy?,What should a person do if they want something sweet and healthy?,"They say that if they want something sweet and healthy, a person should do what?",They say something should do if you want something sweet and healthy?,They say that a person should do what if they want something tasty and healthy?,They say that a person should do what if they want something sweet and healthy?
33b5d61bbe612e02cad6df3786a3317c,What are you about to do after cashing in your chips at a casino?,retire,betrayal,resentment,leave,profit,D,What are you about to do after you cash in your chips at a casino?,What are you about to do after cashing in your chips in a casino?,What are you about to do after putting your chips in a casino?,What are you about to do after edging your chips at a casino?,What are you about to do after you have deposited your chips at a casino?,What are you about to do after you cash your chips in a casino?,Then what are you about to do when you've deposited your chip at a casino?,What are you awaiting to do after converting your chips in a casino?,What are you about to do after circulating the chips in a casino?
b06d1b15200b6caea3767ce7f30e918b,"Sarah liked driving cars more than she liked cigarettes.  After she quit, she'd take long drives for what?",smoke,getting somewhere,relaxation,take a break,wreak,C,Sarah liked driving cars more than she liked cigarettes and after she quit she would take long drives for what?,"Sarah liked driving cars more than she liked cigarettes. After she quit smoking, she'd take long drives for what?","Sarah liked driving cars more than she liked cigarettes. After she quit smoking, she would take long drives for what?",Sarah liked driving cars more than she liked smoking - after she quit she'd take long drives for what?,Sarah liked driving cars more than cigarettes; she would take long trips for what after she quit?,"Sarah liked driving cars more than she liked cigarettes; after she quit smoking, she'd take long drives for what?",Sarah loved driving cars more than she liked cigarette; after she quit she would take long drives for what?,Sarah liked driving cars more than she liked smoking. She would take long drives for what if she made up her mind?,"Sarah liked driving cars more than smoking, after she quit she took long drives for what?"
ac4c7565e8051c9194cb57496c8ec4cc,Sally bought bubblegum. Where might she have gotten it?,supermarket,theater,street,pocket,church,A,"Sally bought bubblegum, where could she have gotten it?","Sally bought bubblegum, where would she have gotten it?","Sally bought bubblegum, where she could have gotten it?","Sally bought Bubblegum, where would she have gotten it?",Sally bought bubblegum - Where she could have got it?,"Sally bought bubblegum, where she might have gotten it?","Sally bought bubblegum, where could she have gotten it?",Sally purchased bubblegum... could she have purchased it?,"Sally bought bubblegum, where has it gone?"
aaefa81d3c2e4837e14875f9f1c84d99,What does there need to be for a shadow to appear?,ground,bright light,bridge,sunshine,beam,B,What is required for a shadow to appear?,What needs to be for a shadow to appear?,What must be for a shadow to appear?,What needs to be for a shadow to appear?,What need to be for a shadow to appear?,What has to be present for a shadow to appear?,What needs to be for a shadow to appear?,Was to be in order for a shadow to appear?,What must be for a shadow to appear?
01071d55e0e78177f9014cb940b2077a,"If I have to pass through a ticket booth to ride a roller coaster, where am I likely?",train station,amusement park,venue,bank,fairgrounds,B,Where am I likely to pass a ticket booth to ride a roller coaster?,Where am I likely to ride a roller coaster if I have to pass through a ticket booth?,"If I have to pass through a ticket booth to ride a roller coaster, where am I likely to go?",Wo am I likely if I have to pass through a ticket booth to ride a roller coaster?,Wo am I likely to ride a roller coaster if I pass through a ticket booth?,Where am I likely to pass if I have to pass through a ticket booth to ride a roller coaster?,Would be most likely to ride a roller coaster if I must pass through a ticket booth?,Where am I likely if I have to pass a ticket booth to ride a roller coaster?,Where am I most likely if I have to cross a ticket booth to ride a roller coaster?
06dd6918ece5095d8d241693c3dddda5,What do you do in court to alleviate curiosity?,search on computer,see exhibits,examine thing,hear testimony,surf net,D,What do you do in court to relieve curiosity?,,,What do you do in court to relieve curiosity?,What do you do in court to ease curiosity?,What do you do in court to reduce curiosity?,What do you do in court to relieve curiosity?,What do you do in court in order to alleviate your curiosity?,What do you do in court to annoy curiosity?
fb8040aec2f3c032837926329efa9592,What would you experience after awaking from a nightmare?,headache,get up,happiness,discomfort,shock,E,What would you experience after waking from a nightmare?,,,What would you experience after waking from a nightmare?,What would you experience after you wake up from a nightmare?,What would you experience after awakening from a nightmare?,What will you feel after falling into a nightmare?,"After awaking from a nightmare, what would you feel?",What would you experience during waking from a nightmare?
5aef8dbaf0eaef3e3f38f063f48513a5,"Whenever I play chess, the other person seems to anticipate my moves, what can they do?",sneeze,winning,thinking,checking,think ahead,E,"When I play chess, the other person seems to anticipate my moves: what can they do?",,,"When I play chess, the other person seems to anticipate my moves: what can they do?","Whenever I play chess, the other seems to anticipate my moves. What can they do?","When I play chess, the other seems to anticipate my moves. What can they do?","A member seems to anticipate my moves whenever i play chess, so what can they do?",When I play chess the other person seems to predict my moves - what can they do?,That the other person seems to anticipate my moves whenever I play chess. What can they do?
e95d738b0093f4d716cfff3ef08f4868,What do people fear when they speak of crossing over?,making cake,fear death,fight each other,talk to each other,race cars,B,What do people fear when they speak of crossing?,What do people fear when they talk about crossing?,What do people fear when they talk of crossing over?,What do people fear when they talk of crossing over?,What do people fear when they speak of crossing?,What fear people when they talk of crossing over?,What do people fear when they are talking about crossing over?,What do people fear when they speak of crossing the border?,What people fear when they speak about crossing the Danube?
07e35bfdcc6296f02a0247e16c6b45a7,If you tend to fiddle with your shoes they are likely what?,you're bored,stolen from the store,like music,uncomfortable,were bored,D,"If you tend to fiddle with your shoes, what are they likely to be?","If you tend to fiddle with your shoes, what are they likely?",,"If you tend to fiddle with your shoes, then what?",If you tend to fiddle with your shoes they are likely to what?,"If you tend to fiddle with your shoes, then they are likely what?",If you tend to fiddle with your shoes are likely exactly what?,"If you often manipulate your shoes, who are likely to use them?","If you tend to fiddle with your shoes, which are likely?"
e07510d1ef4e5d1c812634370dd8968e,"She looked at all the noisy flashing one-armed bandits, if she was going to play she was going to be what?",saving money,spending money,being entertained,intermission,sleepiness,B,She looked at all the noisy flashing one-armed bandits and said if she was going to play she was going to be what?,She looked at all the noisy flashing one-armed bandits and if she was going to play she was going to be what?,"She looked at all the loud flashing one-armed bandits, if she was going to play she was going to be what?","She looked at all the noisy flashing one-armed bandits and if she was going to play, what?","She looked at all the loud flashing one-armed bandits, if she was going to play she was going to be what?",She looked at all the noisy flashing one-armed bandits and thought if she was going to play she was going to be what?,"It looked at all the noisy blinking one-armed bandits, and if she was going to play, what would she be?","She looked at all the noisy, one-armed Bandits flashing screaming; if she wanted to play, what would she be?","She looked at all the one-armed flashing bandits, if she was going to play she was going to be what?"
c4558fc04f4aebe4dcf2d293ac6760f2,"If I have a reception with many people attending, where should I be sure to hold it?",grand casino,large room,restaurant,country club,lobby,B,Where should I be sure to hold a reception with many people attending?,,,"If I have a reception with many people attending, where should I hold it?","If I have a reception with many people attending, where should I make sure to hold it?",Where should I be sure I should hold a reception with many people attending?,Why should I be sure to have a reception with many people attending?,Where should I take a reception with lots of people attending?,Where should I hold a reception with many people in attendance?
943b7c18980968b87929671e06867fca,What does a person do when they are blocking someone in a driveway?,healthy relationship,food,moving car,wet suit,school,C,What does a person do when they block someone in a driveway?,,,What do people do when they block someone in a driveway?,What does a person do when they block someone in a driveway?,What does a person do when they block someone in their driveway?,What do a person do when they blocks someone in a driveway?,What does a person do when they block someone in a driveway?,What does a person do when blocking someone from going on a driveway?
ac2c282d785a31ad48bae5f8f07abba5,What is the final phase of a living being's life?,decay,respiration,death,growing older,sometimes bad,C,What is the last phase of a living being's life?,What is the final phase of life of a living being?,,What is the last phase of a living being's life?,What is the final phase of life of a living being?,What is the last phase of a living being?,What is the final stage of life a living being has?,Which is the last phase of a living being's life?,What is the final phase of life of a living being?
bfcb8e81109cc953bb733404a618dea9,"The man finished mowing his lawn and enjoyed a glass of lemonade on his porch, he took a sip and told himself that life was what?",good,ending soon,fleeting,finite,important,A,,,,"The man finished mowing his lawn and enjoyed a glass of lemonade on his porch, he took a sip and told himself that what was life?",The man finished mowing his lawn and enjoyed a glass of lemonade on his porch. He took a sip and said to himself that life was what?,"The man finished mowing his lawn and enjoyed a glass of lemonade on his porch, took a sip and told himself that life was what?",The man finished in his lawn and drank a glass of lemonade on his porch. He took a sip and said that life is what?,The man mowed his lawn and enjoyed a glass of lemonade on his porch; he took a drink and told himself that life was what?,The man was completed mowing his lawn and enjoying a glass of lemonade on his porch. He took a sip and told himself what life was?
8bb4b6ace304aa9b812bd557423b4063,What is happening to a person found guilty of committing murder?,feeling sad,going to prison,jail time,go to jail,feeling of guilt,B,What happens to a person found guilty of murder?,What happens to a person found guilty of committing murder?,What happens to a person found guilty of murdering?,What happens to a person found guilty of murdering?,What happens to a person found guilty of committing murder?,What happens to a person found guilty of murder?,What happens a person who is found guilty of murder?,What happens to a person in prison found guilty of committing murder?,What happens to a person found guilty of murder?
83ae16ea14d71fd3317f37910025532d,Where is likely the coziest plat to eat?,downtown,prison,city,own house,earing,D,Where is likely the tastiest plat to eat?,Where is likely to eat the coziest plat?,Where is the most cosier plate to eat?,Where is the most cosier plat likely to eat?,What is likely the coziest plat to eat?,Where is probably the solitary plat to eat?,Where is likely the most cozy plat to eat?,Where to eat the frostiest pane?,Where is likely to eat the coziest plat?
b1f0e6568395e4a2115cf2cc8193e494,Where could she go to find a big cat to see?,front door,residence,zoo,restaurant,barn,C,Wo could she go to find a big cat to see?,,,What could she do to find a big cat to see?,Wo could she go to find a big cat to see?,Where would she go to find a big cat to see?,Where should she go to find a big cat that she could see?,Where could she find a large cat in order to see?,Where could go she find a large cat to see?
733d651671fac9bbbc27336b175c618c,"When I was driving, I saw a lot of emergency vehicles up ahead.  What might have happened?",traffic accident,tension headache,tunnel vision,moving,airplane,A,"When I was driving, I saw a lot of emergency vehicles up ahead - what could have happened?",,,"When I was driving, I saw a lot of emergency vehicles up ahead - what could have happened?",,,"When I was driving, I saw a lot of emergency vehicles up ahead - what could have happened?","When I was driving up ahead, I saw a lot of emergency vehicles - was it that could have happened?","When driving, I saw a lot of emergency vehicles up ahead, What would have happened?"
40f14f796b4eafc0e01757657361a17a,"He admired the apple tree, he was relaxing in the smallest of the fifty where?",meadow,idaho,rhode island,garden,park,C,"He admired the apple tree, he was relaxing in the smallest of fifty where?","He admired the apple tree, he was relaxing in the smallest of the fifty?",,"He admired the apple tree, he was relaxed in the smallest of the fifty where?",He admired the apple tree and he was relaxing in the smallest of the fifty where?,"He admired the apple tree, he was relaxing where the smallest of fifty?","He admired the apple tree, he was relaxing in the smallest of the fifty?",He admired the apple tree; he was relaxing where in the smallest of the fifty?,"He admirated the apple tree, he was relaxing in the smallest of the fifty where?"
690b3d4cf174aa15c03cf9348ac1fbc5,"The question the teacher asked was profound, it made all the students stop and what?",analyse,express information,run away,give clue,think,E,The question asked by the teacher was profound; it made all students stop and what?,"The question the teacher asked was profound, it made all students stop and what?",The question that the teacher asked was profound - it made all students stop and what?,"The question that the teacher asked was profound, it made all the students stop and what?","The question asked by the teacher was profound, it made all students stop and what?",The question the teacher asked was deep; it made all the students stop and what?,The question the teacher asked was great; it made all students turn and what?,The teacher asked a huge question; it caused all the students to stop and what?,The question asked the teacher was deep: it made all the students stop and what?
65a260e7b8686c88b83c9bd32b45d974,"When people own restaurants, what are they doing?",own objects,mowing lawns,tell truth,believe in god,selling food,E,What are people doing when they own restaurants?,What do people do when they own restaurants?,What are they doing when people own restaurants?,What are people doing when they own restaurants?,What are they doing when people own restaurants?,What do people do when they own restaurants?,What are those who own restaurants?,What are restaurants which they do when they own them?,What are people doing when they own restaurants?
f33ed9009584c47814f7dff67e72b32f,"The man immediately recognized his picture opposite the crossword section, what was he reading?",table,art show,newspaper,desktop,biology book,C,"The man immediately recognized his picture against the crossword section, what was he reading?",,,"The man immediately recognized his picture in the crossword section, what was he reading?","The man immediately recognized his picture facing the crossword section, what was he reading?",The man immediately recognized his picture against the crossword section - what was he reading?,"The man immediately recognized his picture against the crossword section,'she has read?",The man immediately recognized his portrait opposite the crossword section. What was he reading?,One user immediately recognized his picture opposite of the crossword section. What was he reading?
45bf78f9483e86477920d89dc5389383,Where could you find a laundry room that is only used by staff?,house,hotel,green house,college,dorm,B,,,,What could you find a laundry room that is only used by the staff?,Where could you find a laundry room which is used only by staff?,Where could you find a laundry room that is used only by staff?,What chance do you have that a laundry room will only be used by the staff?,Where can you find a laundry room that is only used by staff members?,Wo could you find a laundry room that is used only by staff?
b2b0848e735d540e30f29e54df7cb965,"Plenty of love, candy and a small dog always awaited them, so the children always loved visiting where?",own home,basket,grandmother's house,apartment complex,trailer park,C,"They always awaited lots of love, candy and a small dog, so the children always loved visiting where?","They always awaited plenty of love, candy and a small dog, so the children always loved visiting where?","Plenty of love, candy and a small dog always awaited them so that the children always loved visiting where?","They always awaited lots of love, candy and a small dog, so the children always loved visiting where?","They always had plenty of love, candy and a small dog waiting them, so the children always loved visiting to where?","There was always plenty of love, candy and a small dog nearby so the children loved visiting where?","Many love stories, candy and a small dog always awaited them so that the children always knew where to go?","As always plenty of love, candy and a small dog awaited them, so the children always loved visiting this?","Plenty of love, candy and a small dog always awaited them so the children always recalled visiting where?"
844255795ce401efa7f598b24e3dd361,While you're at the store buy beer what happens to your wealth?,relaxation,get arrested,wealth increases,losing money,pleasure,D,"While you're in the store, what happens to your wealth?",What happens to your wealth while you're at the store?,"While you're at the store, what happens to your wealth?",What happens to your wealth while you are at the store?,Was happens to your wealth while you're at the store?,"While you are at the store, what happens to your wealth?","While at the store, buy beer for what happens to your wealth?","During your shopping at the store, what happens to your wealth?","While you are at the store buy beer, what happens to your wealth?"
