model,id,paraphrase_level,variants_correct,variants_total,para_majority_correct,gold_answer,orig_pred,orig_correct,taxonomy
llama2_7b,04dd2c474f10826f3c47c378b6f54144,strong,0,3,False,C,,False,Stable Wrong
llama2_7b,04dd8556c4959e448e299af04e1f2488,light,3,3,True,B,B,True,Stable Correct
llama2_7b,04dd8556c4959e448e299af04e1f2488,medium,2,3,True,B,B,True,Stable Correct
llama2_7b,04dd8556c4959e448e299af04e1f2488,strong,3,3,True,B,B,True,Stable Correct
llama2_7b,04fd97d01bb72412e522d518cd781c3d,light,0,3,False,B,E,False,Stable Wrong
llama2_7b,04fd97d01bb72412e522d518cd781c3d,medium,0,3,False,B,E,False,Stable Wrong
llama2_7b,04fd97d01bb72412e522d518cd781c3d,strong,0,3,False,B,E,False,Stable Wrong
llama2_7b,051a9fcd42a663e4b0f5d0a487fcd9bc,medium,0,1,False,A,E,False,Stable Wrong
llama2_7b,051a9fcd42a663e4b0f5d0a487fcd9bc,strong,2,3,True,A,E,False,Unstable but Recoverable
llama2_7b,055231afda84c173569ff3994ae9f768,light,0,1,False,B,E,False,Stable Wrong
llama2_7b,055231afda84c173569ff3994ae9f768,medium,0,3,False,B,E,False,Stable Wrong
llama2_7b,055231afda84c173569ff3994ae9f768,strong,0,3,False,B,E,False,Stable Wrong
llama2_7b,0555e98aff4af324af3c82b93ab00468,light,0,2,False,B,,False,Stable Wrong
llama2_7b,0555e98aff4af324af3c82b93ab00468,medium,0,3,False,B,,False,Stable Wrong
llama2_7b,0555e98aff4af324af3c82b93ab00468,strong,0,3,False,B,,False,Stable Wrong
llama2_7b,05736d2da33a1cbecd5bd9892242018a,light,0,1,False,E,,False,Stable Wrong
llama2_7b,05736d2da33a1cbecd5bd9892242018a,medium,1,2,False,E,,False,Stable Wrong
llama2_7b,05736d2da33a1cbecd5bd9892242018a,strong,2,3,True,E,,False,Unstable but Recoverable
llama2_7b,057af1d364a2ce3bf374e2cfa9292d65,light,0,2,False,B,A,False,Stable Wrong
llama2_7b,057af1d364a2ce3bf374e2cfa9292d65,medium,0,3,False,B,A,False,Stable Wrong
llama2_7b,057af1d364a2ce3bf374e2cfa9292d65,strong,0,3,False,B,A,False,Stable Wrong
llama2_7b,058e72430df30e7403948f818665ac21,light,0,3,False,B,,False,Stable Wrong
llama2_7b,058e72430df30e7403948f818665ac21,medium,0,3,False,B,,False,Stable Wrong
llama2_7b,058e72430df30e7403948f818665ac21,strong,0,3,False,B,,False,Stable Wrong
llama2_7b,05b8d868e1581e573d1cb1e0d01a4480,light,0,3,False,A,,False,Stable Wrong
llama2_7b,05b8d868e1581e573d1cb1e0d01a4480,medium,0,3,False,A,,False,Stable Wrong
llama2_7b,05b8d868e1581e573d1cb1e0d01a4480,strong,0,3,False,A,,False,Stable Wrong
llama2_7b,05d73ae4829152a0e9139d8ed1f8acff,light,0,3,False,B,,False,Stable Wrong
llama2_7b,05d73ae4829152a0e9139d8ed1f8acff,medium,0,3,False,B,,False,Stable Wrong
llama2_7b,05d73ae4829152a0e9139d8ed1f8acff,strong,0,3,False,B,,False,Stable Wrong
llama2_7b,05df7eb39c7e60794d8bc4ff0eb45dc2,light,0,2,False,D,,False,Stable Wrong
llama2_7b,05df7eb39c7e60794d8bc4ff0eb45dc2,medium,2,3,True,D,,False,Unstable but Recoverable
llama2_7b,05df7eb39c7e60794d8bc4ff0eb45dc2,strong,0,3,False,D,,False,Stable Wrong
llama2_7b,06085b17cdff0efa4d427cbdf2300fe1,light,0,1,False,B,,False,Stable Wrong
llama2_7b,06085b17cdff0efa4d427cbdf2300fe1,medium,0,3,False,B,,False,Stable Wrong
llama2_7b,06085b17cdff0efa4d427cbdf2300fe1,strong,0,3,False,B,,False,Stable Wrong
llama2_7b,060a29ea956bac3a63edb3b14d13e17b,light,0,1,False,D,C,False,Stable Wrong
llama2_7b,060a29ea956bac3a63edb3b14d13e17b,medium,0,3,False,D,C,False,Stable Wrong
llama2_7b,060a29ea956bac3a63edb3b14d13e17b,strong,0,3,False,D,C,False,Stable Wrong
llama2_7b,06453c6d1a3d7c065768ebe51ff9c822,light,0,1,False,C,,False,Stable Wrong
llama2_7b,06453c6d1a3d7c065768ebe51ff9c822,medium,0,3,False,C,,False,Stable Wrong
llama2_7b,06453c6d1a3d7c065768ebe51ff9c822,strong,0,3,False,C,,False,Stable Wrong
llama2_7b,06524fe49811f96db1d6ad2d46877648,light,0,3,False,D,C,False,Stable Wrong
llama2_7b,06524fe49811f96db1d6ad2d46877648,medium,0,3,False,D,C,False,Stable Wrong
llama2_7b,06524fe49811f96db1d6ad2d46877648,strong,0,3,False,D,C,False,Stable Wrong
llama2_7b,066482d2b7da5dc0ad591bf2ffda18db,light,1,3,False,E,E,True,Brittle Failure
llama2_7b,066482d2b7da5dc0ad591bf2ffda18db,medium,1,3,False,E,E,True,Brittle Failure
llama2_7b,066482d2b7da5dc0ad591bf2ffda18db,strong,1,3,False,E,E,True,Brittle Failure
llama2_7b,06748592fa4f35f3eeba6352e2bc1a35,light,3,3,True,E,E,True,Stable Correct
llama2_7b,06748592fa4f35f3eeba6352e2bc1a35,medium,3,3,True,E,E,True,Stable Correct
llama2_7b,06748592fa4f35f3eeba6352e2bc1a35,strong,3,3,True,E,E,True,Stable Correct
llama2_7b,0680b652fc3774fdc8a807e46613b5d3,light,3,3,True,E,E,True,Stable Correct
llama2_7b,0680b652fc3774fdc8a807e46613b5d3,medium,2,3,True,E,E,True,Stable Correct
llama2_7b,0680b652fc3774fdc8a807e46613b5d3,strong,2,3,True,E,E,True,Stable Correct
llama2_7b,06a8f6bf117346a4ab4585536033437e,light,0,3,False,D,C,False,Stable Wrong
llama2_7b,06a8f6bf117346a4ab4585536033437e,medium,0,3,False,D,C,False,Stable Wrong
llama2_7b,06a8f6bf117346a4ab4585536033437e,strong,0,3,False,D,C,False,Stable Wrong
llama2_7b,06b2fc012781ffdd3e528345684cc9d3,light,0,1,False,D,E,False,Stable Wrong
llama2_7b,06b2fc012781ffdd3e528345684cc9d3,medium,0,3,False,D,E,False,Stable Wrong
llama2_7b,06b2fc012781ffdd3e528345684cc9d3,strong,0,3,False,D,E,False,Stable Wrong
llama2_7b,06b9d45e724ffde281d44228ee6c8c95,light,0,3,False,A,E,False,Stable Wrong
llama2_7b,06b9d45e724ffde281d44228ee6c8c95,medium,0,3,False,A,E,False,Stable Wrong
llama2_7b,06b9d45e724ffde281d44228ee6c8c95,strong,0,3,False,A,E,False,Stable Wrong
llama2_7b,06d142c0c16b5685559ed3f3a0121d96,light,0,3,False,D,B,False,Stable Wrong
llama2_7b,06d142c0c16b5685559ed3f3a0121d96,medium,0,3,False,D,B,False,Stable Wrong
llama2_7b,06d142c0c16b5685559ed3f3a0121d96,strong,0,3,False,D,B,False,Stable Wrong
llama2_7b,06dd6918ece5095d8d241693c3dddda5,light,0,1,False,D,,False,Stable Wrong
llama2_7b,06dd6918ece5095d8d241693c3dddda5,medium,0,3,False,D,,False,Stable Wrong
llama2_7b,06dd6918ece5095d8d241693c3dddda5,strong,0,3,False,D,,False,Stable Wrong
llama2_7b,06ffff3ea996786d79bf42c918f72bad,light,0,2,False,A,,False,Stable Wrong
llama2_7b,06ffff3ea996786d79bf42c918f72bad,medium,0,3,False,A,,False,Stable Wrong
llama2_7b,06ffff3ea996786d79bf42c918f72bad,strong,0,3,False,A,,False,Stable Wrong
llama2_7b,073789ca6dae04d70f4f1ee4394436c1,medium,0,3,False,E,,False,Stable Wrong
llama2_7b,073789ca6dae04d70f4f1ee4394436c1,strong,0,3,False,E,,False,Stable Wrong
llama2_7b,073e0a4fc4b0ca1304c17c5368f04757,light,0,3,False,D,E,False,Stable Wrong
llama2_7b,073e0a4fc4b0ca1304c17c5368f04757,medium,0,3,False,D,E,False,Stable Wrong
llama2_7b,073e0a4fc4b0ca1304c17c5368f04757,strong,0,3,False,D,E,False,Stable Wrong
llama2_7b,075e483d21c29a511267ef62bedc0461,light,0,3,False,A,E,False,Stable Wrong
llama2_7b,075e483d21c29a511267ef62bedc0461,medium,0,3,False,A,E,False,Stable Wrong
llama2_7b,075e483d21c29a511267ef62bedc0461,strong,0,3,False,A,E,False,Stable Wrong
llama2_7b,076e526335fb109cb590fce55a8d4e75,light,0,3,False,B,E,False,Stable Wrong
llama2_7b,076e526335fb109cb590fce55a8d4e75,medium,0,3,False,B,E,False,Stable Wrong
llama2_7b,076e526335fb109cb590fce55a8d4e75,strong,0,3,False,B,E,False,Stable Wrong
llama2_7b,079f94ba8a6015bc40f59f614326a38c,light,0,3,False,C,,False,Stable Wrong
llama2_7b,079f94ba8a6015bc40f59f614326a38c,medium,0,3,False,C,,False,Stable Wrong
llama2_7b,079f94ba8a6015bc40f59f614326a38c,strong,1,3,False,C,,False,Stable Wrong
llama2_7b,07e35bfdcc6296f02a0247e16c6b45a7,light,0,2,False,D,E,False,Stable Wrong
llama2_7b,07e35bfdcc6296f02a0247e16c6b45a7,medium,0,3,False,D,E,False,Stable Wrong
llama2_7b,07e35bfdcc6296f02a0247e16c6b45a7,strong,0,3,False,D,E,False,Stable Wrong
llama2_7b,081bb36b6ee0e388a73a7fec0838ac8b,medium,3,3,True,B,D,False,Unstable but Recoverable
llama2_7b,081bb36b6ee0e388a73a7fec0838ac8b,strong,3,3,True,B,D,False,Unstable but Recoverable
llama2_7b,0825a8c3c880284db6448010049dde95,light,0,3,False,A,E,False,Stable Wrong
llama2_7b,0825a8c3c880284db6448010049dde95,medium,0,3,False,A,E,False,Stable Wrong
llama2_7b,0825a8c3c880284db6448010049dde95,strong,0,3,False,A,E,False,Stable Wrong
llama2_7b,08577da693b23880008bf709f45876b7,light,0,1,False,C,,False,Stable Wrong
llama2_7b,08577da693b23880008bf709f45876b7,medium,0,3,False,C,,False,Stable Wrong
llama2_7b,08577da693b23880008bf709f45876b7,strong,0,3,False,C,,False,Stable Wrong
llama2_7b,0893a798f25849647a6f3268d15bd75b,light,3,3,True,E,E,True,Stable Correct
llama2_7b,0893a798f25849647a6f3268d15bd75b,medium,3,3,True,E,E,True,Stable Correct
llama2_7b,0893a798f25849647a6f3268d15bd75b,strong,3,3,True,E,E,True,Stable Correct
llama2_7b,08a5fd70929a9bdf0ebecf4a6daabd16,light,3,3,True,A,A,True,Stable Correct
llama2_7b,08a5fd70929a9bdf0ebecf4a6daabd16,medium,3,3,True,A,A,True,Stable Correct
llama2_7b,08a5fd70929a9bdf0ebecf4a6daabd16,strong,3,3,True,A,A,True,Stable Correct
llama2_7b,08be09ef1493313df59884eb5fe35cd4,light,0,1,False,B,,False,Stable Wrong
llama2_7b,08be09ef1493313df59884eb5fe35cd4,medium,0,3,False,B,,False,Stable Wrong
llama2_7b,08be09ef1493313df59884eb5fe35cd4,strong,0,3,False,B,,False,Stable Wrong
llama2_7b,092186d1c99e2248e23182f65aebbd2c,light,0,3,False,B,A,False,Stable Wrong
llama2_7b,092186d1c99e2248e23182f65aebbd2c,medium,0,3,False,B,A,False,Stable Wrong
llama2_7b,092186d1c99e2248e23182f65aebbd2c,strong,0,3,False,B,A,False,Stable Wrong
llama2_7b,092aaeb3b19bbb551dc4ea0483ce5baf,medium,0,3,False,B,A,False,Stable Wrong
llama2_7b,092aaeb3b19bbb551dc4ea0483ce5baf,strong,0,3,False,B,A,False,Stable Wrong
llama2_7b,097cb89fa48378dc27354c8f7c03bd3d,light,0,1,False,D,,False,Stable Wrong
llama2_7b,097cb89fa48378dc27354c8f7c03bd3d,medium,0,3,False,D,,False,Stable Wrong
llama2_7b,097cb89fa48378dc27354c8f7c03bd3d,strong,0,3,False,D,,False,Stable Wrong
llama2_7b,098b53016ded0e777312a80d76d61472,light,1,1,True,C,C,True,Stable Correct
llama2_7b,098b53016ded0e777312a80d76d61472,medium,3,3,True,C,C,True,Stable Correct
llama2_7b,098b53016ded0e777312a80d76d61472,strong,3,3,True,C,C,True,Stable Correct
llama2_7b,0995032fb726379500736f03d5f5276f,light,0,3,False,D,,False,Stable Wrong
llama2_7b,0995032fb726379500736f03d5f5276f,medium,0,3,False,D,,False,Stable Wrong
llama2_7b,0995032fb726379500736f03d5f5276f,strong,1,3,False,D,,False,Stable Wrong
llama2_7b,09ad40fb1fc424afce1226620516e05e,medium,1,2,False,A,A,True,Brittle Failure
llama2_7b,09ad40fb1fc424afce1226620516e05e,strong,1,3,False,A,A,True,Brittle Failure
llama2_7b,09c0562e8a01c979348007b0c0f101c4,light,0,2,False,D,,False,Stable Wrong
llama2_7b,09c0562e8a01c979348007b0c0f101c4,medium,0,3,False,D,,False,Stable Wrong
llama2_7b,09c0562e8a01c979348007b0c0f101c4,strong,0,3,False,D,,False,Stable Wrong
llama2_7b,09e48e2f4b92d1288b7f58ad0932c357,light,0,3,False,B,,False,Stable Wrong
llama2_7b,09e48e2f4b92d1288b7f58ad0932c357,medium,0,3,False,B,,False,Stable Wrong
llama2_7b,09e48e2f4b92d1288b7f58ad0932c357,strong,0,3,False,B,,False,Stable Wrong
llama2_7b,0a0d0c29bd60c8e15d0ac8986423c359,light,0,3,False,B,,False,Stable Wrong
llama2_7b,0a0d0c29bd60c8e15d0ac8986423c359,medium,0,3,False,B,,False,Stable Wrong
llama2_7b,0a0d0c29bd60c8e15d0ac8986423c359,strong,0,3,False,B,,False,Stable Wrong
llama2_7b,0a23d0aa3af58c8994d2f57f3950e7a2,light,2,2,True,E,E,True,Stable Correct
llama2_7b,0a23d0aa3af58c8994d2f57f3950e7a2,medium,3,3,True,E,E,True,Stable Correct
llama2_7b,0a23d0aa3af58c8994d2f57f3950e7a2,strong,3,3,True,E,E,True,Stable Correct
llama2_7b,0a3535a44fba74be37ce86bf0dfbe44b,light,0,1,False,B,,False,Stable Wrong
llama2_7b,0a3535a44fba74be37ce86bf0dfbe44b,medium,0,3,False,B,,False,Stable Wrong
llama2_7b,0a3535a44fba74be37ce86bf0dfbe44b,strong,0,3,False,B,,False,Stable Wrong
llama2_7b,0a360c7a9d38d711207263ddd437950a,light,0,3,False,A,,False,Stable Wrong
llama2_7b,0a360c7a9d38d711207263ddd437950a,medium,0,3,False,A,,False,Stable Wrong
llama2_7b,0a360c7a9d38d711207263ddd437950a,strong,0,3,False,A,,False,Stable Wrong
llama2_7b,0a86e08458102f9c8ab3508e1327cbde,light,0,3,False,D,,False,Stable Wrong
llama2_7b,0a86e08458102f9c8ab3508e1327cbde,medium,0,3,False,D,,False,Stable Wrong
llama2_7b,0a86e08458102f9c8ab3508e1327cbde,strong,0,3,False,D,,False,Stable Wrong
llama2_7b,0a88cabd74ec6f40247dae2976cf8656,light,0,1,False,C,,False,Stable Wrong
llama2_7b,0a88cabd74ec6f40247dae2976cf8656,medium,0,3,False,C,,False,Stable Wrong
llama2_7b,0a88cabd74ec6f40247dae2976cf8656,strong,2,3,True,C,,False,Unstable but Recoverable
llama2_7b,0abf342a1e79ad512937a194474480ed,light,0,3,False,B,,False,Stable Wrong
llama2_7b,0abf342a1e79ad512937a194474480ed,medium,0,3,False,B,,False,Stable Wrong
llama2_7b,0abf342a1e79ad512937a194474480ed,strong,0,3,False,B,,False,Stable Wrong
llama2_7b,0aeb76dec4897054975b01a17f4b8fa0,medium,0,2,False,D,,False,Stable Wrong
llama2_7b,0aeb76dec4897054975b01a17f4b8fa0,strong,0,3,False,D,,False,Stable Wrong
llama2_7b,0b3b89f313222300e18ba2566d872f7c,light,0,3,False,C,E,False,Stable Wrong
llama2_7b,0b3b89f313222300e18ba2566d872f7c,medium,0,3,False,C,E,False,Stable Wrong
llama2_7b,0b3b89f313222300e18ba2566d872f7c,strong,0,3,False,C,E,False,Stable Wrong
