model,model_id,id,variant_name,paraphrase_level,question_text,gold_answer,raw_output,predicted_answer,correct,original_prediction,consistent_with_original
llama2_7b,meta-llama/Llama-2-7b-chat-hf,91f17d513db1d9c9c50889524cca109a,light_1,light,What does someone feel when they lose soccer playing?,D,E. getting tired,E,False,E,True
llama2_7b,meta-llama/Llama-2-7b-chat-hf,a0a0f91e33c6b4856ab5ee1b252afaa3,original,original,"John was a servant, but he was paid for his work.  What was he?",C,E. lord,E,False,E,True
llama2_7b,meta-llama/Llama-2-7b-chat-hf,a0a0f91e33c6b4856ab5ee1b252afaa3,light_1,light,"John was a servant, but was paid for his work - what was he?",C,E. lord,E,False,E,True
llama2_7b,meta-llama/Llama-2-7b-chat-hf,6e93cf389b928e67d37c3b22df1af2b5,original,original,"If the weather means you what, so do your animals?",B,Sure! The answer is:,,False,,True
llama2_7b,meta-llama/Llama-2-7b-chat-hf,6e93cf389b928e67d37c3b22df1af2b5,light_1,light,"If the weather means what, so do your animals?",B,Sure! The answer is:,,False,,False
llama2_7b,meta-llama/Llama-2-7b-chat-hf,6e93cf389b928e67d37c3b22df1af2b5,light_2,light,"If the weather means what to you, so do your animals?",B,Sure! I'll choose letter,,False,,False
llama2_7b,meta-llama/Llama-2-7b-chat-hf,ebe88bc7ce582801ab476a4136d96ed0,original,original,Where would you get a mailbox if you do not have one?,E,Sure! I'll choose letter,,False,,True
llama2_7b,meta-llama/Llama-2-7b-chat-hf,ebe88bc7ce582801ab476a4136d96ed0,light_1,light,Wo would you get a mailbox if you do not have one?,E,Sure! I'll choose letter,,False,,False
llama2_7b,meta-llama/Llama-2-7b-chat-hf,67a9cd11f84c67739ceaedfa8519620e,original,original,They say a person should do what if they want something sweet and healthy?,B,Sure! The answer is B:,B,True,B,True
llama2_7b,meta-llama/Llama-2-7b-chat-hf,67a9cd11f84c67739ceaedfa8519620e,light_1,light,They say that a person should do what if they want something sweet and healthy?,B,Sure! The answer is B:,B,True,B,True
llama2_7b,meta-llama/Llama-2-7b-chat-hf,33b5d61bbe612e02cad6df3786a3317c,original,original,What are you about to do after cashing in your chips at a casino?,D,Sure! I'll choose letter,,False,,True
llama2_7b,meta-llama/Llama-2-7b-chat-hf,33b5d61bbe612e02cad6df3786a3317c,light_1,light,What are you about to do after you cash in your chips at a casino?,D,Sure! I'll choose letter,,False,,False
llama2_7b,meta-llama/Llama-2-7b-chat-hf,33b5d61bbe612e02cad6df3786a3317c,light_2,light,What are you about to do after cashing in your chips in a casino?,D,Sure! I'll choose letter,,False,,False
llama2_7b,meta-llama/Llama-2-7b-chat-hf,b06d1b15200b6caea3767ce7f30e918b,original,original,"Sarah liked driving cars more than she liked cigarettes.  After she quit, she'd take long drives for what?",C,Sure! The answer is:,,False,,True
llama2_7b,meta-llama/Llama-2-7b-chat-hf,b06d1b15200b6caea3767ce7f30e918b,light_1,light,Sarah liked driving cars more than she liked cigarettes and after she quit she would take long drives for what?,C,Sure! The answer is:,,False,,False
llama2_7b,meta-llama/Llama-2-7b-chat-hf,b06d1b15200b6caea3767ce7f30e918b,light_2,light,"Sarah liked driving cars more than she liked cigarettes. After she quit smoking, she'd take long drives for what?",C,Sure! The answer is:,,False,,False
llama2_7b,meta-llama/Llama-2-7b-chat-hf,b06d1b15200b6caea3767ce7f30e918b,light_3,light,"Sarah liked driving cars more than she liked cigarettes. After she quit smoking, she would take long drives for what?",C,Sure! The answer is:,,False,,False
llama2_7b,meta-llama/Llama-2-7b-chat-hf,ac4c7565e8051c9194cb57496c8ec4cc,original,original,Sally bought bubblegum. Where might she have gotten it?,A,Sure! The answer is A:,A,True,A,True
llama2_7b,meta-llama/Llama-2-7b-chat-hf,ac4c7565e8051c9194cb57496c8ec4cc,light_1,light,"Sally bought bubblegum, where could she have gotten it?",A,Sure! The answer is A:,A,True,A,True
llama2_7b,meta-llama/Llama-2-7b-chat-hf,ac4c7565e8051c9194cb57496c8ec4cc,light_2,light,"Sally bought bubblegum, where would she have gotten it?",A,Sure! The answer is A:,A,True,A,True
llama2_7b,meta-llama/Llama-2-7b-chat-hf,ac4c7565e8051c9194cb57496c8ec4cc,light_3,light,"Sally bought bubblegum, where she could have gotten it?",A,Sure! The answer is A:,A,True,A,True
llama2_7b,meta-llama/Llama-2-7b-chat-hf,aaefa81d3c2e4837e14875f9f1c84d99,original,original,What does there need to be for a shadow to appear?,B,Sure! The answer is E.,E,False,E,True
llama2_7b,meta-llama/Llama-2-7b-chat-hf,aaefa81d3c2e4837e14875f9f1c84d99,light_1,light,What is required for a shadow to appear?,B,Sure! The answer is E.,E,False,E,True
llama2_7b,meta-llama/Llama-2-7b-chat-hf,aaefa81d3c2e4837e14875f9f1c84d99,light_2,light,What needs to be for a shadow to appear?,B,Sure! The answer is E.,E,False,E,True
llama2_7b,meta-llama/Llama-2-7b-chat-hf,aaefa81d3c2e4837e14875f9f1c84d99,light_3,light,What must be for a shadow to appear?,B,Sure! The answer is E.,E,False,E,True
llama2_7b,meta-llama/Llama-2-7b-chat-hf,01071d55e0e78177f9014cb940b2077a,original,original,"If I have to pass through a ticket booth to ride a roller coaster, where am I likely?",B,Sure! The answer is B.,B,True,B,True
llama2_7b,meta-llama/Llama-2-7b-chat-hf,01071d55e0e78177f9014cb940b2077a,light_1,light,Where am I likely to pass a ticket booth to ride a roller coaster?,B,Sure! I'm ready to,,False,B,False
llama2_7b,meta-llama/Llama-2-7b-chat-hf,01071d55e0e78177f9014cb940b2077a,light_2,light,Where am I likely to ride a roller coaster if I have to pass through a ticket booth?,B,Sure! I'm ready to,,False,B,False
llama2_7b,meta-llama/Llama-2-7b-chat-hf,01071d55e0e78177f9014cb940b2077a,light_3,light,"If I have to pass through a ticket booth to ride a roller coaster, where am I likely to go?",B,Sure! The answer is B:,B,True,B,True
llama2_7b,meta-llama/Llama-2-7b-chat-hf,06dd6918ece5095d8d241693c3dddda5,original,original,What do you do in court to alleviate curiosity?,D,Sure! I'll choose letter,,False,,True
llama2_7b,meta-llama/Llama-2-7b-chat-hf,06dd6918ece5095d8d241693c3dddda5,light_1,light,What do you do in court to relieve curiosity?,D,Sure! I'll choose letter,,False,,False
llama2_7b,meta-llama/Llama-2-7b-chat-hf,fb8040aec2f3c032837926329efa9592,original,original,What would you experience after awaking from a nightmare?,E,Sure! I would reply with the,,False,,True
llama2_7b,meta-llama/Llama-2-7b-chat-hf,fb8040aec2f3c032837926329efa9592,light_1,light,What would you experience after waking from a nightmare?,E,Sure! I would reply with the,,False,,False
llama2_7b,meta-llama/Llama-2-7b-chat-hf,5aef8dbaf0eaef3e3f38f063f48513a5,original,original,"Whenever I play chess, the other person seems to anticipate my moves, what can they do?",E,E. think ahead,E,True,E,True
llama2_7b,meta-llama/Llama-2-7b-chat-hf,5aef8dbaf0eaef3e3f38f063f48513a5,light_1,light,"When I play chess, the other person seems to anticipate my moves: what can they do?",E,E. think ahead,E,True,E,True
llama2_7b,meta-llama/Llama-2-7b-chat-hf,e95d738b0093f4d716cfff3ef08f4868,original,original,What do people fear when they speak of crossing over?,B,Sure! The answer is B:,B,True,B,True
llama2_7b,meta-llama/Llama-2-7b-chat-hf,e95d738b0093f4d716cfff3ef08f4868,light_1,light,What do people fear when they speak of crossing?,B,Sure! The answer is:,,False,B,False
llama2_7b,meta-llama/Llama-2-7b-chat-hf,e95d738b0093f4d716cfff3ef08f4868,light_2,light,What do people fear when they talk about crossing?,B,Sure! The answer is:,,False,B,False
llama2_7b,meta-llama/Llama-2-7b-chat-hf,e95d738b0093f4d716cfff3ef08f4868,light_3,light,What do people fear when they talk of crossing over?,B,Sure! The answer is B:,B,True,B,True
llama2_7b,meta-llama/Llama-2-7b-chat-hf,07e35bfdcc6296f02a0247e16c6b45a7,original,original,If you tend to fiddle with your shoes they are likely what?,D,E. were bored,E,False,E,True
llama2_7b,meta-llama/Llama-2-7b-chat-hf,07e35bfdcc6296f02a0247e16c6b45a7,light_1,light,"If you tend to fiddle with your shoes, what are they likely to be?",D,Sure! I'll choose letter,,False,E,False
llama2_7b,meta-llama/Llama-2-7b-chat-hf,07e35bfdcc6296f02a0247e16c6b45a7,light_2,light,"If you tend to fiddle with your shoes, what are they likely?",D,Sure! I'll choose the,,False,E,False
llama2_7b,meta-llama/Llama-2-7b-chat-hf,e07510d1ef4e5d1c812634370dd8968e,original,original,"She looked at all the noisy flashing one-armed bandits, if she was going to play she was going to be what?",B,Sure! The answer is:,,False,,True
llama2_7b,meta-llama/Llama-2-7b-chat-hf,e07510d1ef4e5d1c812634370dd8968e,light_1,light,She looked at all the noisy flashing one-armed bandits and said if she was going to play she was going to be what?,B,Sure! The answer is:,,False,,False
llama2_7b,meta-llama/Llama-2-7b-chat-hf,e07510d1ef4e5d1c812634370dd8968e,light_2,light,She looked at all the noisy flashing one-armed bandits and if she was going to play she was going to be what?,B,Sure! The answer is:,,False,,False
llama2_7b,meta-llama/Llama-2-7b-chat-hf,e07510d1ef4e5d1c812634370dd8968e,light_3,light,"She looked at all the loud flashing one-armed bandits, if she was going to play she was going to be what?",B,Sure! The answer is:,,False,,False
llama2_7b,meta-llama/Llama-2-7b-chat-hf,c4558fc04f4aebe4dcf2d293ac6760f2,original,original,"If I have a reception with many people attending, where should I be sure to hold it?",B,E.,E,False,E,True
llama2_7b,meta-llama/Llama-2-7b-chat-hf,c4558fc04f4aebe4dcf2d293ac6760f2,light_1,light,Where should I be sure to hold a reception with many people attending?,B,Sure! I'll choose letter,,False,E,False
llama2_7b,meta-llama/Llama-2-7b-chat-hf,943b7c18980968b87929671e06867fca,original,original,What does a person do when they are blocking someone in a driveway?,C,Sure! I'll choose the,,False,,True
llama2_7b,meta-llama/Llama-2-7b-chat-hf,943b7c18980968b87929671e06867fca,light_1,light,What does a person do when they block someone in a driveway?,C,Sure! I'll choose the,,False,,False
llama2_7b,meta-llama/Llama-2-7b-chat-hf,ac2c282d785a31ad48bae5f8f07abba5,original,original,What is the final phase of a living being's life?,C,C,C,True,C,True
llama2_7b,meta-llama/Llama-2-7b-chat-hf,ac2c282d785a31ad48bae5f8f07abba5,light_1,light,What is the last phase of a living being's life?,C,Sure! The answer is C:,C,True,C,True
llama2_7b,meta-llama/Llama-2-7b-chat-hf,ac2c282d785a31ad48bae5f8f07abba5,light_2,light,What is the final phase of life of a living being?,C,C,C,True,C,True
llama2_7b,meta-llama/Llama-2-7b-chat-hf,bfcb8e81109cc953bb733404a618dea9,original,original,"The man finished mowing his lawn and enjoyed a glass of lemonade on his porch, he took a sip and told himself that life was what?",A,E,E,False,E,True
llama2_7b,meta-llama/Llama-2-7b-chat-hf,8bb4b6ace304aa9b812bd557423b4063,original,original,What is happening to a person found guilty of committing murder?,B,B,B,True,B,True
llama2_7b,meta-llama/Llama-2-7b-chat-hf,8bb4b6ace304aa9b812bd557423b4063,light_1,light,What happens to a person found guilty of murder?,B,B,B,True,B,True
llama2_7b,meta-llama/Llama-2-7b-chat-hf,8bb4b6ace304aa9b812bd557423b4063,light_2,light,What happens to a person found guilty of committing murder?,B,B,B,True,B,True
llama2_7b,meta-llama/Llama-2-7b-chat-hf,8bb4b6ace304aa9b812bd557423b4063,light_3,light,What happens to a person found guilty of murdering?,B,B,B,True,B,True
llama2_7b,meta-llama/Llama-2-7b-chat-hf,83ae16ea14d71fd3317f37910025532d,original,original,Where is likely the coziest plat to eat?,D,Sure! I'd choose E,D,True,D,True
llama2_7b,meta-llama/Llama-2-7b-chat-hf,83ae16ea14d71fd3317f37910025532d,light_2,light,Where is likely to eat the coziest plat?,D,Sure! I'd choose E,D,True,D,True
llama2_7b,meta-llama/Llama-2-7b-chat-hf,83ae16ea14d71fd3317f37910025532d,light_3,light,Where is the most cosier plate to eat?,D,Sure! The answer is:,,False,D,False
llama2_7b,meta-llama/Llama-2-7b-chat-hf,b1f0e6568395e4a2115cf2cc8193e494,original,original,Where could she go to find a big cat to see?,C,Sure! The answer is C.,C,True,C,True
llama2_7b,meta-llama/Llama-2-7b-chat-hf,b1f0e6568395e4a2115cf2cc8193e494,light_1,light,Wo could she go to find a big cat to see?,C,Sure! The answer is C.,C,True,C,True
llama2_7b,meta-llama/Llama-2-7b-chat-hf,733d651671fac9bbbc27336b175c618c,original,original,"When I was driving, I saw a lot of emergency vehicles up ahead.  What might have happened?",A,Sure! I'll choose letter,,False,,True
llama2_7b,meta-llama/Llama-2-7b-chat-hf,733d651671fac9bbbc27336b175c618c,light_1,light,"When I was driving, I saw a lot of emergency vehicles up ahead - what could have happened?",A,Sure! I'll choose letter,,False,,False
llama2_7b,meta-llama/Llama-2-7b-chat-hf,40f14f796b4eafc0e01757657361a17a,original,original,"He admired the apple tree, he was relaxing in the smallest of the fifty where?",C,Sure! The answer is:,,False,,True
llama2_7b,meta-llama/Llama-2-7b-chat-hf,40f14f796b4eafc0e01757657361a17a,light_1,light,"He admired the apple tree, he was relaxing in the smallest of fifty where?",C,Sure! The answer is:,,False,,False
llama2_7b,meta-llama/Llama-2-7b-chat-hf,40f14f796b4eafc0e01757657361a17a,light_2,light,"He admired the apple tree, he was relaxing in the smallest of the fifty?",C,Sure! The answer is:,,False,,False
llama2_7b,meta-llama/Llama-2-7b-chat-hf,690b3d4cf174aa15c03cf9348ac1fbc5,original,original,"The question the teacher asked was profound, it made all the students stop and what?",E,E,E,True,E,True
llama2_7b,meta-llama/Llama-2-7b-chat-hf,690b3d4cf174aa15c03cf9348ac1fbc5,light_1,light,The question asked by the teacher was profound; it made all students stop and what?,E,E. think,E,True,E,True
llama2_7b,meta-llama/Llama-2-7b-chat-hf,690b3d4cf174aa15c03cf9348ac1fbc5,light_2,light,"The question the teacher asked was profound, it made all students stop and what?",E,E,E,True,E,True
llama2_7b,meta-llama/Llama-2-7b-chat-hf,690b3d4cf174aa15c03cf9348ac1fbc5,light_3,light,The question that the teacher asked was profound - it made all students stop and what?,E,E. think,E,True,E,True
llama2_7b,meta-llama/Llama-2-7b-chat-hf,65a260e7b8686c88b83c9bd32b45d974,original,original,"When people own restaurants, what are they doing?",E,E,E,True,E,True
llama2_7b,meta-llama/Llama-2-7b-chat-hf,65a260e7b8686c88b83c9bd32b45d974,light_1,light,What are people doing when they own restaurants?,E,E,E,True,E,True
llama2_7b,meta-llama/Llama-2-7b-chat-hf,65a260e7b8686c88b83c9bd32b45d974,light_2,light,What do people do when they own restaurants?,E,E,E,True,E,True
llama2_7b,meta-llama/Llama-2-7b-chat-hf,65a260e7b8686c88b83c9bd32b45d974,light_3,light,What are they doing when people own restaurants?,E,E,E,True,E,True
llama2_7b,meta-llama/Llama-2-7b-chat-hf,f33ed9009584c47814f7dff67e72b32f,original,original,"The man immediately recognized his picture opposite the crossword section, what was he reading?",C,E.,E,False,E,True
llama2_7b,meta-llama/Llama-2-7b-chat-hf,f33ed9009584c47814f7dff67e72b32f,light_1,light,"The man immediately recognized his picture against the crossword section, what was he reading?",C,E.,E,False,E,True
llama2_7b,meta-llama/Llama-2-7b-chat-hf,45bf78f9483e86477920d89dc5389383,original,original,Where could you find a laundry room that is only used by staff?,B,Sure! The answer is:,,False,,True
llama2_7b,meta-llama/Llama-2-7b-chat-hf,b2b0848e735d540e30f29e54df7cb965,original,original,"Plenty of love, candy and a small dog always awaited them, so the children always loved visiting where?",C,Sure! I'll choose letter,,False,,True
llama2_7b,meta-llama/Llama-2-7b-chat-hf,b2b0848e735d540e30f29e54df7cb965,light_1,light,"They always awaited lots of love, candy and a small dog, so the children always loved visiting where?",C,Sure! I'll choose letter,,False,,False
llama2_7b,meta-llama/Llama-2-7b-chat-hf,b2b0848e735d540e30f29e54df7cb965,light_2,light,"They always awaited plenty of love, candy and a small dog, so the children always loved visiting where?",C,Sure! I'll choose letter,,False,,False
